,potras,doxodsn,natdox,nalog,ssber,denras,fakt,kvzv,dhpens
potras,1.0,0.7380211186552476,0.2516839707921795,0.4198031868066062,0.2514018565526843,0.8669776034885645,-0.4914945451826559,0.3457764824332252,-0.2697278969385103
doxodsn,0.7380211186552476,1.0,0.29399616785251936,0.6170073583565054,0.4514084672867217,0.765245728171896,-0.030143799615645377,0.4871425675406882,-0.40775858110725943
natdox,0.2516839707921795,0.29399616785251936,1.0,0.19534138945500165,0.13765797071073096,0.26809742805293724,-0.07581254134376406,0.07191032545720351,-0.12968997797212423
nalog,0.4198031868066062,0.6170073583565054,0.19534138945500165,1.0,0.31686282721011383,0.4584256493159861,0.0027301467471635204,0.30151917994235705,-0.5547912119546465
ssber,0.2514018565526843,0.4514084672867217,0.13765797071073096,0.31686282721011383,1.0,0.26858477856383406,0.10572502256503419,0.2830480621969337,-0.16192516879050897
denras,0.8669776034885645,0.765245728171896,0.26809742805293724,0.4584256493159861,0.26858477856383406,1.0,-0.6665131633037525,0.3445707727973818,-0.2927256400061296
fakt,-0.4914945451826559,-0.030143799615645377,-0.07581254134376406,0.0027301467471635204,0.10572502256503419,-0.6665131633037525,1.0,0.02912256696657546,-0.01769143999726201
kvzv,0.3457764824332252,0.4871425675406882,0.07191032545720351,0.30151917994235705,0.2830480621969337,0.3445707727973818,0.02912256696657546,1.0,-0.14162816120568242
dhpens,-0.2697278969385103,-0.40775858110725943,-0.12968997797212423,-0.5547912119546465,-0.16192516879050897,-0.2927256400061296,-0.01769143999726201,-0.14162816120568242,1.0
